klk_EN,year,month,day,iWarehouseSenderID,hours,cargotype,traffic_stream
30,2020,4,1,1545,11_12,0,0
1,2020,4,1,1545,18_19,1,0
3,2020,4,1,1545,20_21,1,0
15,2020,4,1,1545,10_11,0,0
66,2020,4,1,1545,14_15,0,1
67,2020,4,1,1545,11_12,0,1
72,2020,4,1,1545,10_11,0,1
12,2021,4,1,1545,09_10,0,0
1,2021,4,1,1545,19_20,1,0
89,2021,4,1,1545,16_17,0,0
77,2021,4,1,1545,09_10,0,1
82,2021,4,1,1545,16_17,0,1
188,2021,4,1,1545,20_21,0,0
21,2021,4,1,1545,12_13,0,0
149,2021,4,1,1545,18_19,0,0
58,2021,4,1,1545,20_21,0,1
59,2021,4,1,1545,12_13,0,1
90,2021,4,1,1545,18_19,0,1
38,2021,4,1,1545,15_16,0,0
7,2021,4,1,1545,08_09,0,0
88,2021,4,1,1545,15_16,0,1
21,2021,4,1,1545,08_09,0,1
21,2021,4,1,1545,10_11,0,0
15,2021,4,1,1545,14_15,0,0
1,2021,4,1,1545,20_21,1,0
44,2021,4,1,1545,11_12,0,0
62,2021,4,1,1545,10_11,0,1
54,2021,4,1,1545,14_15,0,1
69,2021,4,1,1545,11_12,0,1
14,2021,4,1,1545,23_24,0,0
185,2021,4,1,1545,17_18,0,0
84,2021,4,1,1545,17_18,0,1
215,2021,4,1,1545,19_20,0,0
47,2021,4,1,1545,13_14,0,0
113,2021,4,1,1545,19_20,0,1
75,2021,4,1,1545,13_14,0,1
2,2022,4,1,1545,04_05,0,0
78,2022,4,1,1545,15_16,0,0
49,2022,4,1,1545,15_16,0,1
1,2022,4,1,1545,14_15,1,1
1,2022,4,1,1545,17_18,1,0
42,2022,4,1,1545,13_14,0,0
1,2022,4,1,1545,18_19,0,0
59,2022,4,1,1545,13_14,0,1
34,2022,4,1,1545,12_13,0,0
67,2022,4,1,1545,17_18,0,0
1,2022,4,1,1545,11_12,1,0
75,2022,4,1,1545,16_17,0,0
10,2022,4,1,1545,09_10,0,0
50,2022,4,1,1545,12_13,0,1
1,2022,4,1,1545,10_11,1,1
16,2022,4,1,1545,17_18,0,1
25,2022,4,1,1545,16_17,0,1
4,2022,4,1,1545,09_10,0,1
1,2022,4,1,1545,12_13,1,0
61,2022,4,1,1545,14_15,0,0
15,2022,4,1,1545,10_11,0,0
31,2022,4,1,1545,11_12,0,0
57,2022,4,1,1545,14_15,0,1
28,2022,4,1,1545,10_11,0,1
36,2022,4,1,1545,11_12,0,1
1,2018,5,1,1545,9_10 ,0,0
7,2018,5,1,1545,16_17,0,0
7,2018,5,1,1545,17_18,0,1
9,2018,5,1,1545,10_11,0,1
9,2018,5,1,1545,15_16,0,0
9,2018,5,1,1545,16_17,0,1
